image_index,mean_input,mean_blur,mean_edge,max_edge,strong_edge_pixels
0,35.1084,34.9298,92.4031,255.0000,293
1,39.6620,39.4719,97.7551,255.0000,310
2,24.7997,24.6658,80.0753,255.0000,262
3,21.8559,21.7513,56.3980,255.0000,174
4,29.6097,29.4528,75.5918,255.0000,242
5,37.7564,37.5702,93.2066,255.0000,298
6,22.5077,22.4043,53.9120,255.0000,175
7,45.7487,45.5434,103.8673,255.0000,331
8,13.8699,13.7895,43.3878,255.0000,136
9,27.9388,27.7921,77.5421,255.0000,244
10,36.4133,36.2653,79.6582,255.0000,253
11,18.1760,18.0676,58.2691,255.0000,186
12,45.6135,45.4094,106.2781,255.0000,336
13,36.2793,36.1110,87.0638,255.0000,282
14,14.8240,14.7270,44.8508,255.0000,140
15,32.2653,32.1071,81.3036,255.0000,256
16,31.4222,31.2500,90.5574,255.0000,290
17,34.5740,34.4171,79.7640,255.0000,257
18,17.3329,17.2054,67.9260,255.0000,216
19,22.6250,22.5115,61.7334,255.0000,199
20,43.5727,43.3929,94.9413,255.0000,299
21,45.1952,44.9923,104.5332,255.0000,328
22,19.9630,19.8367,63.2423,255.0000,201
23,21.1441,21.0319,55.0242,255.0000,173
24,28.0204,27.8827,78.9222,255.0000,254
25,52.0166,51.7768,114.3176,255.0000,363
26,17.3202,17.2003,61.1097,255.0000,195
27,58.8163,58.5651,113.2883,255.0000,360
28,53.1480,52.9337,110.0344,255.0000,353
29,20.0829,19.9592,56.5026,255.0000,173
30,32.5281,32.3673,82.8954,255.0000,265
31,41.5370,41.3520,87.1237,255.0000,278
32,22.4247,22.2781,71.0255,255.0000,224
33,27.0077,26.8724,68.4031,255.0000,222
34,46.5651,46.3839,91.2883,255.0000,293
35,20.8240,20.6952,67.9171,255.0000,219
36,40.6467,40.4898,75.1990,255.0000,244
37,47.5332,47.3355,94.3992,255.0000,299
38,27.9860,27.8278,81.9809,255.0000,263
39,34.2857,34.1276,78.9388,255.0000,252
40,17.4681,17.3776,47.6952,255.0000,153
41,36.1033,35.9388,82.3023,255.0000,263
42,16.1161,16.0166,54.7806,255.0000,176
43,22.9643,22.8495,63.4426,255.0000,206
44,21.9311,21.7997,70.4503,255.0000,227
45,30.8138,30.6671,78.0344,255.0000,249
46,29.5689,29.4043,85.0051,255.0000,270
47,28.6365,28.4962,78.9209,255.0000,254
48,21.9209,21.7959,63.0663,255.0000,206
49,42.0434,41.8571,94.3814,255.0000,296
50,23.9171,23.7717,77.4975,255.0000,251
51,58.0906,57.8546,116.4171,255.0000,373
52,35.6454,35.4847,86.2309,255.0000,278
53,21.4337,21.2946,67.6020,255.0000,219
54,30.0893,29.9184,84.0153,255.0000,264
55,41.2844,41.1008,92.8444,255.0000,300
56,53.4337,53.2015,111.1339,255.0000,354
57,25.5906,25.4668,69.0089,255.0000,219
58,43.3074,43.1314,88.2168,255.0000,281
59,21.4770,21.3686,55.9107,255.0000,173
60,37.5714,37.3903,93.9541,255.0000,299
61,23.1352,22.9962,66.7372,255.0000,212
62,38.6633,38.5051,84.7513,255.0000,271
63,58.9860,58.7615,110.3801,255.0000,343
64,33.5077,33.3380,91.8827,255.0000,294
65,21.1620,21.0383,63.2296,255.0000,205
66,34.4120,34.2730,82.0025,255.0000,265
67,19.4056,19.2806,57.5995,255.0000,188
68,31.5204,31.3406,101.3138,255.0000,326
69,53.9196,53.7258,100.6786,255.0000,320
70,28.1735,28.0421,69.6569,255.0000,219
71,26.0281,25.7398,71.5829,255.0000,230
72,13.7168,13.7870,44.7564,255.0000,146
73,33.3048,33.1416,79.7015,255.0000,258
74,33.3508,33.1952,81.4260,255.0000,258
75,43.4120,43.2270,95.0676,255.0000,301
76,33.5242,33.3431,91.8673,255.0000,286
77,21.6365,21.5357,55.1620,255.0000,176
78,25.1671,25.0625,57.6212,255.0000,182
79,29.7551,29.6020,74.6824,255.0000,237
80,33.3903,33.2156,94.8635,255.0000,299
81,47.1327,46.9413,100.8112,255.0000,317
82,51.2538,51.0612,103.3520,255.0000,322
83,34.1735,34.0013,88.2577,255.0000,280
84,23.7296,23.6008,71.7666,255.0000,228
85,33.2321,33.0574,89.0804,255.0000,289
86,27.8469,27.6849,81.8048,255.0000,262
87,35.6173,35.4617,82.2054,255.0000,262
88,43.2066,43.0089,107.3469,255.0000,337
89,32.1122,31.9375,88.1352,255.0000,278
90,37.9770,37.7985,89.5982,255.0000,284
91,33.0816,32.7819,81.4668,255.0000,261
92,19.6122,19.6161,68.9923,255.0000,221
93,37.4031,37.2309,86.0829,255.0000,277
94,34.7870,34.6250,82.3278,255.0000,264
95,48.1161,47.9273,98.6926,255.0000,317
96,23.1543,23.0421,63.7296,255.0000,201
97,37.3393,37.1441,88.1250,255.0000,277
98,27.4375,27.2908,76.6569,255.0000,248
99,16.3814,16.2895,48.8482,255.0000,155
100,23.0115,22.8967,65.3061,255.0000,208
101,29.9031,29.7513,80.1773,255.0000,252
102,14.4426,14.3724,44.7959,255.0000,136
103,24.4898,24.3533,70.4273,255.0000,226
104,14.8278,14.7411,45.8622,255.0000,146
105,24.6161,24.5128,58.2577,255.0000,187
106,34.0319,33.8597,84.3087,255.0000,267
107,39.8699,39.6862,97.1709,255.0000,309
108,36.8597,36.6633,104.2181,255.0000,331
109,26.9260,26.7755,75.3163,255.0000,242
110,31.6620,31.5255,79.3202,255.0000,252
111,58.4732,58.2181,127.7742,255.0000,406
112,14.8992,14.8240,43.7385,255.0000,144
113,26.2921,26.1798,60.1849,255.0000,191
114,51.6671,51.4528,111.2793,255.0000,354
115,26.9554,26.8010,76.9872,255.0000,247
116,32.6403,32.5000,75.8559,255.0000,247
117,51.1314,50.9133,110.7857,255.0000,352
118,31.9809,31.7921,92.9770,255.0000,298
119,54.8992,54.6645,110.3890,255.0000,348
120,50.7717,50.5548,99.2487,255.0000,313
121,58.6786,58.4515,126.0791,255.0000,395
122,30.7666,30.6173,80.0038,255.0000,251
123,31.1212,30.7730,79.8750,255.0000,250
124,11.9298,12.0472,44.4809,255.0000,143
125,33.8457,33.6875,81.1059,255.0000,262
126,35.4745,35.3061,84.4605,255.0000,268
127,29.7207,29.5702,79.9745,255.0000,251
128,25.4579,25.3559,55.9222,255.0000,181
129,40.0714,39.9018,81.7742,255.0000,262
130,28.8444,28.6952,77.4541,255.0000,242
131,34.9987,34.8265,87.5944,255.0000,278
132,22.9235,22.8112,60.3916,255.0000,192
133,23.3406,23.2207,59.9196,255.0000,193
134,30.3469,30.2130,66.4375,255.0000,208
135,42.3508,42.1518,100.5574,255.0000,321
136,25.7028,25.5612,76.6582,255.0000,247
137,34.8967,34.7742,71.1862,255.0000,227
138,36.1492,35.9783,92.2168,255.0000,291
139,30.9719,30.8023,76.9018,255.0000,250
140,17.4554,17.3355,58.0191,255.0000,188
141,28.5638,28.4171,71.7628,255.0000,226
142,23.3929,23.2564,75.2666,255.0000,239
143,32.1033,31.9439,86.6071,255.0000,277
144,23.7730,23.6084,84.3712,255.0000,272
145,24.1263,23.9847,73.6875,255.0000,236
146,36.8202,36.6441,94.9337,255.0000,304
147,36.0829,35.9401,73.7423,255.0000,239
148,22.8827,22.7334,72.8329,255.0000,231
149,44.7347,44.5434,109.7857,255.0000,351
150,33.7041,33.5472,82.4821,255.0000,263
151,34.0357,33.8686,82.2487,255.0000,263
152,18.5702,18.4770,50.2589,255.0000,160
153,20.5561,20.4286,63.4056,255.0000,201
154,27.3546,27.1875,79.5051,255.0000,251
